"","Publisher","Global_Sales","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"570","Xseed Games",0.225,0.1025,0.01,0.0925,0.0175
"571","Yacht Club Games",0.106666666666667,0.0533333333333333,0.0366666666666667,0.00333333333333333,0.01
"572","Yamasa Entertainment",0.02,0,0,0.02,0
"573","Yeti",0.0218181818181818,0,0,0.0218181818181818,0
"574","Yuke's",0.0266666666666667,0.00333333333333333,0.00333333333333333,0.0166666666666667,0
"575","Yumedia",0.06,0,0,0.06,0
"576","Zenrin",0.03,0,0,0.03,0
"577","Zoo Digital Publishing",0.12375,0.0915384615384615,0.0235576923076923,0.00134615384615385,0.0075
"578","Zoo Games",0.146060606060606,0.136969696969697,0,0,0.00818181818181818
"579","Zushi Games",0.105,0.0927777777777778,0.00277777777777778,0.000555555555555556,0.00611111111111111
